name,name_hindi,category,serving_size_g,calories,protein_g,carbs_g,fat_g,fiber_g,sodium_mg,potassium_mg,source
Carrot red,,IFCT2017,100,29.2,4.0,3.09,0.09,0.26,,,IFCT2017_Complete_OCR
Colocasia,,IFCT2017,100,95.9,6.0,17.85,0.05,0.94,,,IFCT2017_Complete_OCR
Potato brown skin small,,IFCT2017,100,19.6,1.0,0.87,1.35,0.22,,,IFCT2017_Complete_OCR
Potato red skin,,IFCT2017,100,25.0,1.0,1.13,1.83,0.22,,,IFCT2017_Complete_OCR
Radish round red skin,,IFCT2017,100,15.7,1.0,0.91,0.89,0.16,,,IFCT2017_Complete_OCR
Radish round white skin,,IFCT2017,100,18.4,2.0,0.8,0.8,0.14,,,IFCT2017_Complete_OCR
Sweet potato pink skin,,IFCT2017,100,27.9,3.0,3.94401,0.01,,,,IFCT2017_Complete_OCR
Tapioca,,IFCT2017,100,19.0,3.0,0.05,0.76,,,,IFCT2017_Complete_OCR
Yam wild,,IFCT2017,100,42.7,2.0,1.76,3.07,0.3,,,IFCT2017_Complete_OCR
Chillies green-3,,IFCT2017,100,53.8,3.0,5.1,2.38204,0.1,,,IFCT2017_Complete_OCR
Chillies green-6,,IFCT2017,100,800.4,6.0,3.01,84.93,0.96,,,IFCT2017_Complete_OCR
Chillies green-7,,IFCT2017,100,163.0,7.0,,85.83,0.9,,,IFCT2017_Complete_OCR
Curry leaves,,IFCT2017,100,57.6,6.0,4.864058,1.57,1.0,,,IFCT2017_Complete_OCR
- Garlic single clove Kashmir,,IFCT2017,100,66.1,1.0,1.76,6.12,0.16,,,IFCT2017_Complete_OCR
-Arecanut fresh,,IFCT2017,100,45.0,2.0,1.43,,5.51,,,IFCT2017_Complete_OCR
- Gingelly seeds black,,IFCT2017,100,94.6,6.0,17.16,0.22,0.19,,,IFCT2017_Complete_OCR
Ground nut,,IFCT2017,100,122.2,6.0,23.0,0.69,,,,IFCT2017_Complete_OCR
Button mushroom fresh,,IFCT2017,100,65.1,1.0,7.0,3.68,0.42,,,IFCT2017_Complete_OCR
Chicken mushroom fresh,,IFCT2017,100,316.6,1.0,74.0,1.84,0.25,,,IFCT2017_Complete_OCR
Shiitake mushroom fresh,,IFCT2017,100,243.0,1.0,,3.19,0.76,,,IFCT2017_Complete_OCR
Oyster mushroom dried,,IFCT2017,100,181.0,1.0,1.41,19.04,2.86,,,IFCT2017_Complete_OCR
Milk whole Cow 6 86642110 3264006 -0684002 448029 4944102 305423,,IFCT2017,100,457.2,6.0,0.29,48.0,,,,IFCT2017_Complete_OCR
Egg poultry yolk raw 6 53574040 1574033 105005 26344017 124249,,IFCT2017,100,31.0,6.0,1.0,0.33,5.0,,,IFCT2017_Complete_OCR
- Egg country hen whole raw 1 7296 1314 086 1300 704,,IFCT2017,100,125.7,1.0,0.86,13.14,13.0,,,IFCT2017_Complete_OCR
Egg country hen whole boiled 4 7043 1443 094 1410 767,,IFCT2017,100,149.6,4.0,0.94,14.43,14.1,,,IFCT2017_Complete_OCR
- Egg country hen omlet 1 6780 1480 108 1630 855,,IFCT2017,100,141.5,1.0,1.08,14.8,16.3,,,IFCT2017_Complete_OCR
Egg duck whole raw 1 7053 1460 099 1383 760,,IFCT2017,100,139.4,1.0,0.99,14.6,13.83,,,IFCT2017_Complete_OCR
Egg duck whole omlet 1 6890 1510 118 1480 804,,IFCT2017,100,144.6,1.0,1.18,15.1,14.8,,,IFCT2017_Complete_OCR
Egg quial whole raw 1 75141 1239 094 1146 635,,IFCT2017,100,119.3,1.0,0.94,12.39,11.46,,,IFCT2017_Complete_OCR
Egg quial whole boiled 1 7441 1303 099 1150 647,,IFCT2017,100,125.2,1.0,0.99,13.03,11.5,,,IFCT2017_Complete_OCR
