name,name_hindi,category,serving_size_g,calories,protein_g,carbs_g,fat_g,fiber_g,sodium_mg,potassium_mg,source
"Goat, spleen",,IFCT_Extracted,100,94.3,4.0,18.45,0.5,0.15,,,IFCT2017_Complete_OCR
"Goat, tube",,IFCT_Extracted,100,69.3,3.0,12.92,0.63,0.54,,,IFCT2017_Complete_OCR
"Goat, testis a",,IFCT_Extracted,100,354.6,84.29,2.39,0.87,,,,IFCT2017_Complete_OCR
"Sheep, shoulder",,IFCT_Extracted,100,115.5,5.0,18.24,2.51,1.41,,,IFCT2017_Complete_OCR
"Sheep, chops",,IFCT_Extracted,100,113.0,4.0,18.0,2.78,1.22,,,IFCT2017_Complete_OCR
"‘Sheep, brain",,IFCT_Extracted,100,126.2,1.0,1.19,13.05,7.29,,,IFCT2017_Complete_OCR
"Sheep, tongue i",,IFCT_Extracted,100,338.5,68.7,13.53,1.06,,,,IFCT2017_Complete_OCR
"Sheep, heart i",,IFCT_Extracted,100,331.6,77.06,3.66,0.97,,,,IFCT2017_Complete_OCR
"Sheep, liver",,IFCT_Extracted,100,115.1,4.0,22.26,1.12,1.46,,,IFCT2017_Complete_OCR
"Sheep, tripe",,IFCT_Extracted,100,159.9,2.0,0.26,16.76,4.05,,,IFCT2017_Complete_OCR
"Sheep, kidneys",,IFCT_Extracted,100,158.0,2.0,1.0,16.22,2.92,,,IFCT2017_Complete_OCR
"Beef, shoulder",,IFCT_Extracted,100,111.5,6.0,20.56,0.59,1.32,,,IFCT2017_Complete_OCR
"Calf, shoulder",,IFCT_Extracted,100,200.6,2.0,0.94,20.98,,,,IFCT2017_Complete_OCR
"Calf, chops",,IFCT_Extracted,100,213.9,2.0,0.92,22.47,3.85,,,IFCT2017_Complete_OCR
"Calf, round",,IFCT_Extracted,100,200.9,2.0,0.74,21.1,6.92,,,IFCT2017_Complete_OCR
"Calf, brain",,IFCT_Extracted,100,101.6,2.0,1.26,9.84,7.6,,,IFCT2017_Complete_OCR
"Calf, tongue",,IFCT_Extracted,100,171.7,2.0,0.93,17.78,11.76,,,IFCT2017_Complete_OCR
"Calf, heart",,IFCT_Extracted,100,177.0,1.0,0.86,18.84,3.75,,,IFCT2017_Complete_OCR
"Calf, liver",,IFCT_Extracted,100,198.2,1.0,1.26,21.02,3.95,,,IFCT2017_Complete_OCR
"Calf, spleen",,IFCT_Extracted,100,169.0,1.0,1.41,17.71,2.12,,,IFCT2017_Complete_OCR
"Calf, kidneys",,IFCT_Extracted,100,148.5,2.0,1.02,15.16,3.5,,,IFCT2017_Complete_OCR
"Mithun, shoulder",,IFCT_Extracted,100,178.8,1.0,0.84,19.05,11.14,,,IFCT2017_Complete_OCR
"~—Mithun, chops",,IFCT_Extracted,100,170.9,1.0,0.79,18.19,6.12,,,IFCT2017_Complete_OCR
"Mithun, round",,IFCT_Extracted,100,184.1,1.0,0.9,19.61,4.1,,,IFCT2017_Complete_OCR
"Pork, lungs",,IFCT_Extracted,100,83.0,4.0,15.13,0.72,0.52,,,IFCT2017_Complete_OCR
"Pork, heart",,IFCT_Extracted,100,21.5,4.0,1.01,0.16,40.01,,,IFCT2017_Complete_OCR
"Pork, liver",,IFCT_Extracted,100,101.0,5.0,18.0,1.0,0.03,,,IFCT2017_Complete_OCR
"Pork, stomach A",,IFCT_Extracted,100,339.4,76.51,7.81,0.23,,,,IFCT2017_Complete_OCR
